iter	MultiClass
0	1.320227845
1	1.264356249
2	1.218872905
3	1.179987904
4	1.146362379
5	1.117540502
6	1.091540152
7	1.069173668
8	1.049057625
9	1.03063582
10	1.013384078
11	0.9980535248
12	0.9839096984
13	0.9712307546
14	0.9599750797
15	0.9497969116
16	0.9395414952
17	0.9319114532
18	0.9231688748
19	0.9131410238
20	0.9055260064
21	0.8974890888
22	0.890296559
23	0.883403926
24	0.8773239455
25	0.8705680417
26	0.863814077
27	0.8592775423
28	0.8537776665
29	0.8479229401
30	0.8434844935
31	0.839088065
32	0.833713063
33	0.8295520317
34	0.8254820878
35	0.8213933609
36	0.8181656814
37	0.8143453126
38	0.8102539948
39	0.8072316112
40	0.8038058738
41	0.7988639199
42	0.7944613609
43	0.7907997508
44	0.7878074932
45	0.7842264293
46	0.7815135339
47	0.7788097255
48	0.7749669415
49	0.7709546769
50	0.7668663562
51	0.7637169917
52	0.7619160978
53	0.759725716
54	0.7566611406
55	0.7536540844
56	0.7506037776
57	0.7488449382
58	0.7458037662
59	0.7416442445
60	0.7382220656
61	0.7350441159
62	0.7331807778
63	0.7291591104
64	0.7258396655
65	0.7225344268
66	0.7194986238
67	0.7166045687
68	0.7146812588
69	0.7122874392
70	0.7093436446
71	0.7068179382
72	0.7041067504
73	0.7023486959
74	0.6997530846
75	0.6970598626
76	0.694899609
77	0.6923829298
78	0.6902561175
79	0.6870211566
80	0.6847161395
81	0.6813988741
82	0.6793040909
83	0.6762476575
84	0.6740059425
85	0.6715592225
86	0.6682447117
87	0.6663011384
88	0.6649672822
89	0.6637968288
90	0.6615933268
91	0.658575158
92	0.6566978322
93	0.653681431
94	0.6522943618
95	0.6511389479
96	0.6488998237
97	0.6465966828
98	0.6443822924
99	0.6413400216
100	0.6392507158
101	0.6372659612
102	0.6341596006
103	0.6313136692
104	0.6293779821
105	0.6270239425
106	0.624574993
107	0.6220539325
108	0.6196781988
109	0.617503712
110	0.6155874049
111	0.6130905259
112	0.6093909042
113	0.6071267756
114	0.6051978279
115	0.6023353558
116	0.5996612338
117	0.5977827098
118	0.5957398198
119	0.5938674186
120	0.5915734568
121	0.5893534898
122	0.5876145957
123	0.5854915356
124	0.5829447344
125	0.5809791427
126	0.5788159916
127	0.577066667
128	0.5747804508
129	0.5726826533
130	0.5708307533
131	0.568952931
132	0.5658483558
133	0.5641737713
134	0.562182255
135	0.5603037805
136	0.5583078699
137	0.556056744
138	0.5545806762
139	0.552491707
140	0.5501990979
141	0.5488899552
142	0.5458994796
143	0.5443010791
144	0.5417889663
145	0.5396191473
146	0.5380804
147	0.5369193911
148	0.5349694464
149	0.5330088322
150	0.5312748819
151	0.5296836426
152	0.5269614596
153	0.5250607103
154	0.5236557042
155	0.5221876936
156	0.5198172792
157	0.5171446406
158	0.5152623776
159	0.5144144632
160	0.5127749703
161	0.511573096
162	0.5094970083
163	0.5074990229
164	0.5049503287
165	0.5034266623
166	0.5012556431
167	0.4991592491
168	0.4975625373
169	0.4961957898
170	0.4952024143
171	0.493095306
172	0.4919803497
173	0.4900905618
174	0.4880876442
175	0.4869082808
176	0.4854612573
177	0.4842824816
178	0.4827172499
179	0.4813642456
180	0.479881214
181	0.4781576112
182	0.4771788278
183	0.4755845944
184	0.4737141608
185	0.4722251707
186	0.4705342544
187	0.4692282449
188	0.4678303427
189	0.4663630254
190	0.4652934123
191	0.4638216262
192	0.4611576459
193	0.4598565253
194	0.4588522185
195	0.457966205
196	0.4564712603
197	0.45557242
198	0.4543702305
199	0.4530365145
200	0.4515839447
201	0.4504003914
202	0.4494459974
203	0.4482027334
204	0.4464890369
205	0.4451080348
206	0.4436942305
207	0.4424586384
208	0.4414306777
209	0.4405373789
210	0.4394641138
211	0.4378413517
212	0.4362370066
213	0.4350659614
214	0.4336552739
215	0.432347902
216	0.4308664878
217	0.4297183953
218	0.4287294102
219	0.4275628307
220	0.4266267695
221	0.4250727824
222	0.4236242083
223	0.4223316219
224	0.4204475238
225	0.4192507195
226	0.4179301191
227	0.416949024
228	0.4162522284
229	0.4148453337
230	0.4139505614
231	0.4130988389
232	0.4119086717
233	0.4110875672
234	0.4092448111
235	0.4085637298
236	0.4075612298
237	0.4062097828
238	0.4048311294
239	0.4040925358
240	0.4030127664
241	0.4018695088
242	0.4013407686
243	0.3998427117
244	0.3990533822
245	0.397914449
246	0.3968049508
247	0.3956330536
248	0.3949289348
249	0.3937659374
250	0.392433407
251	0.3911574721
252	0.3903641957
253	0.3896616528
254	0.3883974095
255	0.3875931611
256	0.3866340627
257	0.3858663866
258	0.3850042372
259	0.3841953155
260	0.3830914541
261	0.3814866974
262	0.380000372
263	0.3789464953
264	0.3778753332
265	0.3770958768
266	0.3761215387
267	0.3752698113
268	0.3741633713
269	0.3733696041
270	0.3723336633
271	0.3713672931
272	0.3703109082
273	0.3692215891
274	0.3682996293
275	0.3671655161
276	0.36642601
