iter	Passed	Remaining
0	189	189396
1	209	104666
2	228	76014
3	247	61749
4	268	53353
5	288	47853
6	310	44020
7	330	40958
8	352	38799
9	373	36927
10	394	35433
11	419	34514
12	445	33799
13	466	32879
14	486	31975
15	507	31190
16	528	30537
17	549	29958
18	571	29517
19	593	29088
20	616	28750
21	645	28676
22	667	28341
23	689	28032
24	711	27730
25	735	27545
26	761	27444
27	789	27392
28	812	27190
29	833	26960
30	857	26799
31	876	26522
32	898	26314
33	919	26137
34	942	25984
35	963	25806
36	995	25916
37	1017	25756
38	1039	25624
39	1063	25520
40	1086	25404
41	1108	25276
42	1129	25144
43	1151	25011
44	1172	24893
45	1196	24819
46	1217	24692
47	1242	24640
48	1268	24617
49	1298	24672
50	1329	24745
51	1354	24698
52	1380	24662
53	1410	24702
54	1436	24685
55	1459	24598
56	1483	24543
57	1505	24451
58	1531	24431
59	1557	24395
60	1581	24338
61	1606	24301
62	1629	24228
63	1652	24167
64	1673	24072
65	1694	23981
66	1718	23929
67	1739	23846
68	1765	23819
69	1788	23764
70	1813	23727
71	1837	23686
72	1861	23635
73	1884	23584
74	1908	23537
75	1931	23485
76	1953	23421
77	1977	23377
78	2002	23341
79	2024	23280
80	2048	23242
81	2070	23178
82	2092	23118
83	2113	23051
84	2136	22996
85	2160	22960
86	2182	22907
87	2209	22899
88	2233	22865
89	2257	22823
90	2279	22771
91	2303	22732
92	2326	22689
93	2352	22670
94	2375	22633
95	2398	22588
96	2421	22541
97	2446	22513
98	2468	22463
99	2490	22416
100	2513	22374
101	2535	22323
102	2559	22287
103	2582	22245
104	2604	22200
105	2627	22156
106	2649	22114
107	2671	22062
108	2693	22015
109	2717	21990
110	2741	21956
111	2767	21940
112	2793	21924
113	2817	21900
114	2841	21869
115	2868	21861
116	2893	21839
117	2919	21820
118	2945	21806
119	2968	21767
120	2990	21723
121	3015	21699
122	3039	21672
123	3066	21663
124	3090	21634
125	3116	21619
126	3139	21580
127	3167	21575
128	3191	21548
129	3218	21538
130	3242	21510
131	3267	21483
132	3290	21451
133	3315	21428
134	3341	21409
135	3365	21383
136	3391	21364
137	3415	21333
138	3438	21299
139	3466	21293
140	3491	21270
141	3514	21233
142	3542	21231
143	3577	21269
144	3603	21245
145	3628	21225
146	3653	21202
147	3684	21208
148	3709	21188
149	3735	21167
150	3761	21151
151	3785	21119
152	3813	21112
153	3838	21089
154	3863	21060
155	3886	21027
156	3913	21012
157	3940	20998
158	3966	20979
159	3994	20969
160	4018	20939
161	4044	20922
162	4069	20895
163	4092	20863
164	4117	20838
165	4144	20820
166	4168	20794
167	4195	20775
168	4226	20780
169	4252	20761
170	4280	20752
171	4306	20729
172	4330	20701
173	4357	20686
174	4386	20679
175	4414	20668
176	4445	20668
177	4473	20656
178	4501	20644
179	4527	20625
180	4556	20618
181	4586	20611
182	4612	20591
183	4636	20561
184	4663	20543
185	4688	20517
186	4717	20509
187	4745	20496
